,Country,Region,2015Happiness,2015GDP,2015Generosity,2015Trust (Government Corruption),2016Happiness,2016GDP,2016Generosity,2016Trust (Government Corruption),2017Happiness,2017GDP,2017Generosity,2017Trust (Government Corruption),2018Happiness,2018GDP,2018Generosity,2018Trust (Government Corruption),2019Happiness,2019GDP,2019Generosity,2019Trust (Government Corruption),2020Happiness,2020GDP,2020Generosity,2020Trust (Government Corruption),2021Happiness,2021GDP,2021Generosity,2021Trust (Government Corruption)
40,South Korea,Eastern Asia,5.984,1.24461,0.18557,0.07857,5.835,1.35948,0.18824,0.07716,5.837999821,1.401678443,0.206674367,0.063282669,5.875,1.266,0.175,0.051,5.895,1.301,0.175,0.056,5.872399807,1.245300651,0.170303866,0.789067447,5.845,1.403,0.134,0.727
41,Ecuador,Latin America and Caribbean,5.975,0.86402,0.11541,0.1809,5.976,0.97306,0.10074,0.18037,6.007999897,1.000820398,0.150112465,0.140134647,5.973,0.889,0.114,0.12,6.028,0.912,0.126,0.087,5.925199986,0.853383601,0.115006477,0.801215112,5.764,0.935,0.107,0.843
42,Bahrain,Middle East and Northern Africa,5.96,1.32376,0.17362,0.306,6.218,1.44024,0.17147,0.25772,6.086999893,1.488412261,0.172668487,0.25704217,6.105,1.338,0.243,0.123,6.199,1.362,0.255,0.11,6.227300167,1.296692252,0.287453711,0.7393471,6.647,1.409,0.246,0.722
43,Italy,Western Europe,5.948,1.25114,0.22823,0.02901,5.977,1.35495,0.16684,0.02556,5.964000225,1.395066619,0.172789648,0.028028091,6,1.264,0.137,0.028,6.223,1.294,0.158,0.03,6.38740015,1.236396074,0.170266211,0.873404682,6.483,1.393,0.133,0.866
44,Bolivia,Latin America and Caribbean,5.89,0.68133,0.20536,0.088,5.822,0.79422,0.21698,0.07746,5.822999954,0.833756566,0.225560725,0.060477726,5.752,0.751,0.141,0.054,5.779,0.776,0.137,0.064,5.747499943,0.730976343,0.138375074,0.822606206,5.716,0.842,0.138,0.839
45,Moldova,Central and Eastern Europe,5.889,0.59448,0.20951,0.01615,5.897,0.69177,0.19997,0.01903,5.837999821,0.72887063,0.208779126,0.010091286,5.64,0.657,0.171,0,5.529,0.685,0.181,0,5.607500076,0.707916796,0.174049184,0.913314283,5.766,0.985,0.137,0.918
46,Paraguay,Latin America and Caribbean,5.878,0.75985,0.3424,0.08242,5.538,0.89373,0.25296,0.07396,5.493000031,0.932537317,0.224150658,0.091065913,5.681,0.835,0.162,0.074,5.743,0.855,0.184,0.08,5.692100048,0.897990823,0.204299241,0.834788501,5.653,0.983,0.206,0.882
47,Kazakhstan,Central and Eastern Europe,5.855,1.12254,0.11827,0.08454,5.919,1.22943,0.15011,0.11132,5.818999767,1.28455627,0.201964423,0.119282886,5.79,1.143,0.148,0.121,5.809,1.173,0.146,0.096,6.057899952,1.122594237,0.153713793,0.764490843,6.152,1.23,0.143,0.733
48,Slovenia,Central and Eastern Europe,5.848,1.18498,0.25328,0.03787,5.768,1.29947,0.25738,0.03635,5.757999897,1.341205955,0.242649093,0.045128979,5.948,1.219,0.16,0.051,6.118,1.258,0.144,0.057,6.363399982,1.208652496,0.145701498,0.817071021,6.461,1.36,0.122,0.806
49,Lithuania,Central and Eastern Europe,5.833,1.14723,0.02641,0.01031,5.813,1.2692,0.02025,0.0182,5.90199995,1.314582348,0.010164657,0.011865643,5.952,1.197,0.026,0.006,6.149,1.238,0.043,0.042,6.215499878,1.193559647,0.053691041,0.809583843,6.255,1.35,0.056,0.826
50,Nicaragua,Latin America and Caribbean,5.828,0.59325,0.27815,0.19317,5.992,0.69384,0.29773,0.16292,6.071000099,0.737299204,0.301674217,0.130687982,6.141,0.668,0.208,0.128,6.105,0.694,0.2,0.127,6.13710022,0.620033145,0.212871477,0.665950119,5.972,0.693,0.201,0.664
