,Country,Region,2015Happiness,2015GDP,2015Generosity,2015Trust (Government Corruption),2016Happiness,2016GDP,2016Generosity,2016Trust (Government Corruption),2017Happiness,2017GDP,2017Generosity,2017Trust (Government Corruption),2018Happiness,2018GDP,2018Generosity,2018Trust (Government Corruption),2019Happiness,2019GDP,2019Generosity,2019Trust (Government Corruption),2020Happiness,2020GDP,2020Generosity,2020Trust (Government Corruption),2021Happiness,2021GDP,2021Generosity,2021Trust (Government Corruption)
102,Haiti,Latin America and Caribbean,4.518,0.26673,0.46187,0.17175,4.028,0.34097,0.47958,0.14476,3.602999926,0.368610263,0.489203781,0.09987215,3.582,0.315,0.392,0.104,3.597,0.323,0.419,0.11,3.720799923,0.284734428,0.463909656,0.684767246,3.615,0.294,0.463,0.721
103,Nepal,Southern Asia,4.514,0.35997,0.32296,0.05907,4.793,0.44626,0.3816,0.07008,4.961999893,0.479820192,0.394096166,0.072975546,4.88,0.425,0.302,0.078,4.913,0.446,0.285,0.089,5.137199879,0.444050372,0.300971806,0.738099158,5.269,0.519,0.287,0.727
104,Ethiopia,Sub-Saharan Africa,4.512,0.19073,0.24325,0.15048,4.508,0.29283,0.29522,0.1717,4.460000038,0.339233845,0.31265074,0.165455714,4.35,0.308,0.22,0.146,4.286,0.336,0.209,0.1,4.186200142,0.315125644,0.227698103,0.753690004,4.275,0.37,0.241,0.761
105,Sierra Leone,Sub-Saharan Africa,4.507,0.33024,0.21488,0.08786,4.635,0.36485,0.23897,0.08196,4.709000111,0.368420929,0.293040901,0.071095176,4.571,0.256,0.238,0.053,4.374,0.268,0.252,0.045,3.926399946,0.240560383,0.257647008,0.861330688,3.849,0.279,0.243,0.866
106,Mauritania,Sub-Saharan Africa,4.436,0.45407,0.219,0.17461,4.201,0.61391,0.22686,0.17955,4.291999817,0.648457289,0.201870024,0.136957005,4.356,0.557,0.134,0.093,4.49,0.57,0.106,0.088,4.374599934,0.539684892,0.128899664,0.746223509,4.227,0.666,0.119,0.731
107,Kenya,Sub-Saharan Africa,4.419,0.36471,0.37542,0.05839,4.356,0.52267,0.41328,0.06686,4.552999973,0.560479462,0.444860309,0.064641319,4.41,0.493,0.352,0.055,4.509,0.512,0.372,0.053,4.583000183,0.476413399,0.393902093,0.831499159,4.607,0.603,0.375,0.825
108,Armenia,Central and Eastern Europe,4.35,0.76821,0.07855,0.039,4.36,0.86086,0.07793,0.03616,4.375999928,0.900596738,0.083488092,0.026674422,4.321,0.816,0.077,0.028,4.559,0.85,0.095,0.064,4.676799774,0.808262408,0.107225738,0.773544788,5.283,0.996,0.079,0.629
109,Botswana,Sub-Saharan Africa,4.332,0.99355,0.10461,0.12474,3.974,1.09426,0.12425,0.10769,3.766000032,1.122094154,0.099348448,0.098583199,3.59,1.017,0.042,0.092,3.488,1.041,0.025,0.1,3.478899956,0.997548997,0.033407487,0.777930915,3.467,1.099,0.027,0.801
110,Myanmar,Southeastern Asia,4.307,0.27108,0.79588,0.19034,4.395,0.34112,0.81971,0.20243,4.545000076,0.36711055,0.838075161,0.188816205,4.308,0.682,0.598,0.178,4.36,0.71,0.566,0.172,4.308000088,0.67809093,0.569813728,0.645124316,4.426,0.666,0.52,0.66
111,Georgia,Central and Eastern Europe,4.297,0.7419,0.05547,0.38331,4.252,0.83792,0.06786,0.3188,4.285999775,0.950612664,0.054008815,0.251666635,4.34,0.853,0.038,0.215,4.519,0.886,0.043,0.164,4.672599792,0.847198069,0.047609735,0.665944695,4.891,1.03,0.032,0.655
112,Malawi,Sub-Saharan Africa,4.292,0.01604,0.33128,0.06977,4.156,0.08709,0.30968,0.07564,3.970000029,0.233442038,0.28717047,0.072711654,3.587,0.186,0.21,0.08,3.41,0.191,0.218,0.089,3.538000107,0.176534727,0.213185057,0.731700778,3.6,0.113,0.213,0.729
113,Sri Lanka,Southern Asia,4.271,0.83524,0.40828,0.09179,4.415,0.97318,0.46978,0.07964,4.440000057,1.009850144,0.490863562,0.073653966,4.471,0.918,0.307,0.05,4.366,0.949,0.244,0.047,4.327000141,0.897986948,0.252666146,0.859001756,4.325,0.99,0.239,0.863
114,Cameroon,Sub-Saharan Africa,4.252,0.4225,0.20618,0.05786,4.513,0.52497,0.2268,0.06126,4.695000172,0.564305365,0.236298457,0.051306631,4.975,0.535,0.183,0.043,5.044,0.549,0.187,0.037,5.084899902,0.503958046,0.198020101,0.851336598,5.142,0.543,0.205,0.848
115,Bulgaria,Central and Eastern Europe,4.218,1.01216,0.11921,0.00872,4.217,1.11306,0.12793,0.00615,4.714000225,1.161459088,0.113177694,0.011051531,4.933,1.054,0.064,0.009,5.011,1.092,0.081,0.004,5.101500034,1.046554685,0.103833713,0.935585141,5.266,1.181,0.125,0.932
116,Egypt,Middle East and Northern Africa,4.194,0.8818,0.11291,0.06324,4.362,0.95395,0.12706,0.10393,4.735000134,0.989701807,0.128631443,0.114381365,4.419,0.885,0.092,0.107,4.166,0.913,0.076,0.067,4.151400089,0.875228941,0.068801254,0.787726879,4.283,0.954,0.069,0.795
117,Yemen,Middle East and Northern Africa,4.077,0.54649,0.09131,0.07854,3.724,0.57939,0.09821,0.05892,3.592999935,0.591683447,0.104125209,0.056767423,3.355,0.442,0.083,0.064,3.38,0.287,0.108,0.077,3.527400017,0.392701775,0.094689012,0.800287724,3.658,0.329,0.092,0.8
118,Mali,Sub-Saharan Africa,3.995,0.26074,0.18798,0.12352,4.073,0.31292,0.21064,0.13647,4.190000057,0.476180494,0.183354199,0.104970247,4.447,0.37,0.139,0.056,4.39,0.385,0.153,0.052,4.729300022,0.352462649,0.16966705,0.839328408,4.723,0.387,0.164,0.827
119,Congo (Brazzaville),Sub-Saharan Africa,3.989,0.67866,0.12388,0.11686,4.236,0.77109,0.12077,0.09753,4.290999889,0.808964252,0.120852128,0.079618134,4.559,0.682,0.091,0.077,4.812,0.673,0.105,0.093,5.194399834,0.633616745,0.117216013,0.751779079,5.342,0.518,0.144,0.745
120,Uganda,Sub-Saharan Africa,3.931,0.21102,0.29066,0.07267,3.739,0.34719,0.27102,0.06442,4.080999851,0.381430715,0.325766057,0.057069719,4.161,0.322,0.259,0.061,4.189,0.332,0.252,0.06,4.43200016,0.312337428,0.264807373,0.836737812,4.636,0.364,0.267,0.855
121,Senegal,Sub-Saharan Africa,3.904,0.36498,0.20843,0.10713,4.219,0.44314,0.19103,0.11681,4.534999847,0.479309022,0.183468893,0.115460448,4.631,0.429,0.138,0.082,4.681,0.45,0.153,0.072,4.980800152,0.504061818,0.164397135,0.808785141,5.132,0.518,0.158,0.801
122,Gabon,Sub-Saharan Africa,3.896,1.06024,0.06822,0.11091,4.121,1.15851,0.06244,0.09314,4.465000153,1.198210239,0.043785378,0.076046787,4.758,1.036,0.032,0.052,4.799,1.057,0.043,0.055,4.829299927,0.988044381,0.052013602,0.849150956,4.852,1.037,0.058,0.84
123,Niger,Sub-Saharan Africa,3.845,0.0694,0.19387,0.15639,3.856,0.1327,0.2097,0.17176,4.027999878,0.161925331,0.228673846,0.138572946,4.166,0.131,0.175,0.099,4.628,0.138,0.188,0.102,4.909599781,0.108330332,0.208176896,0.722530186,5.074,0.162,0.2,0.693
124,Cambodia,Southeastern Asia,3.819,0.46038,0.40359,0.07247,3.907,0.55604,0.40339,0.08092,4.168000221,0.601765096,0.385922968,0.068105951,4.433,0.549,0.256,0.065,4.7,0.574,0.232,0.062,4.848400116,0.544634938,0.233342081,0.822769046,4.83,0.603,0.21,0.843
125,Tanzania,Sub-Saharan Africa,3.781,0.2852,0.34377,0.05747,3.666,0.47155,0.31472,0.05099,3.348999977,0.511135876,0.354256362,0.066035107,3.303,0.455,0.27,0.097,3.231,0.476,0.276,0.147,3.476200104,0.457163125,0.27154091,0.619799435,3.623,0.433,0.307,0.577
126,Madagascar,Sub-Saharan Africa,3.681,0.20824,0.21333,0.08124,3.695,0.27954,0.2204,0.07506,3.644000053,0.305808693,0.20873253,0.067231975,3.774,0.262,0.155,0.049,3.933,0.274,0.169,0.041,4.165599823,0.244553208,0.191190064,0.817485631,4.208,0.266,0.185,0.803
127,Chad,Sub-Saharan Africa,3.667,0.34193,0.18386,0.05269,3.763,0.42214,0.18667,0.04952,3.936000109,0.438012987,0.21611385,0.053581882,4.301,0.358,0.181,0.06,4.35,0.35,0.198,0.078,4.422699928,0.302287489,0.210805088,0.802760839,4.355,0.255,0.215,0.807
128,Guinea,Sub-Saharan Africa,3.656,0.17417,0.28657,0.12139,3.607,0.22415,0.29914,0.1192,3.506999969,0.24454993,0.264815092,0.110937618,3.964,0.344,0.185,0.094,4.534,0.38,0.207,0.086,4.949299812,0.390007734,0.249490842,0.761794448,4.984,0.42,0.25,0.766
129,Ivory Coast,Sub-Saharan Africa,3.655,0.46534,0.20165,0.17922,3.916,0.55507,0.20338,0.1553,4.179999828,0.603048921,0.20123747,0.130061775,4.671,0.541,0.146,0.103,4.944,0.569,0.154,0.09,5.233300209,0.537094414,0.169915587,0.790771961,5.306,0.669,0.177,0.794
130,Burkina Faso,Sub-Saharan Africa,3.587,0.25812,0.21747,0.12832,3.739,0.31995,0.24353,0.12533,4.032000065,0.350227714,0.250864685,0.120328106,4.424,0.314,0.175,0.128,4.587,0.331,0.177,0.113,4.768700123,0.302467644,0.186390609,0.739795029,4.834,0.364,0.182,0.748
131,Afghanistan,Southern Asia,3.575,0.31982,0.3651,0.09719,3.36,0.38227,0.31268,0.07112,3.79399991,0.401477218,0.311870933,0.06115783,3.632,0.332,0.191,0.036,3.203,0.35,0.158,0.025,2.566900015,0.30070585,0.135234714,0.933686554,2.523,0.37,0.122,0.924
132,Rwanda,Sub-Saharan Africa,3.465,0.22208,0.22628,0.55191,3.515,0.32846,0.23552,0.50521,3.470999956,0.368745893,0.252756029,0.455220014,3.408,0.332,0.2,0.444,3.334,0.359,0.217,0.411,3.312299967,0.343242675,0.235704988,0.183541179,3.415,0.364,0.227,0.167
133,Benin,Sub-Saharan Africa,3.34,0.28665,0.1826,0.0801,3.484,0.39499,0.2018,0.06681,3.657000065,0.431085408,0.207948461,0.060929015,4.141,0.378,0.163,0.067,4.883,0.393,0.175,0.082,5.21600008,0.366244704,0.196670428,0.740532577,5.045,0.507,0.166,0.661
134,Burundi,Sub-Saharan Africa,2.905,0.0153,0.19727,0.10062,2.905,0.06831,0.2029,0.09419,2.904999971,0.091622569,0.204435185,0.084147945,2.905,0.091,0.149,0.076,3.775,0.046,0.176,0.18,3.775300026,0,0.187401786,0.606934547,3.775,0,0.172,0.607
135,Togo,Sub-Saharan Africa,2.839,0.20868,0.16681,0.10731,3.303,0.28123,0.17517,0.11587,3.494999886,0.305444717,0.196896151,0.095665015,3.999,0.259,0.158,0.101,4.085,0.275,0.177,0.085,4.187200069,0.268116266,0.200774252,0.757733464,4.107,0.254,0.209,0.772
